title,url,discounted_price,original_price
Authentic Vandyvape Jackaroo Pod Kit - Black Warrior,https://www.cigabuy.com/authentic-vandyvape-jackaroo-pod-kit-black-warrior-p-20639.html,$24.81,$35.92 
Authentic Freemax Maxus 100W  Kit - Black - Red,https://www.cigabuy.com/authentic-freemax-maxus-100w-kit-black-red-p-19161.html,$44.31,$70.45 
Authentic Freemax Maxus 200W  Kit - Blue - Yellow,https://www.cigabuy.com/authentic-freemax-maxus-200w-kit-blue-yellow-p-19159.html,$55.31,$81.29 
Authentic Steam Crave Hadron Pro DNA250C 400W MOD - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-hadron-pro-dna250c-400w-mod-gunmetal-p-21506.html,$134.74,$196.43 
Authentic Dovpo Topside Dual 200W Squonker Box Mod - Black,https://www.cigabuy.com/authentic-dovpo-topside-dual-200w-squonker-box-mod-black-p-14040.html,$69.11,$94.44 
2 x Authentic VOOPOO V.THRU Pro 0.70ohm Pod Cartridge,https://www.cigabuy.com/2-x-authentic-voopoo-vthru-pro-070ohm-pod-cartridge-p-19833.html,$4.15,$4.41 
Authentic Geekvape Obelisk 120 FC Z Zeus Tank Kit no Fast Charger - Gunmetal,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-z-zeus-tank-kit-no-fast-charger-gunmetal-p-21089.html,$63.96,$99.70 
Authentic THC Artemis RDTA - Black,https://www.cigabuy.com/authentic-thc-artemis-rdta-black-p-20221.html,$31.32,$68.16 
Authentic VOOPOO DRAG 3 177W Kit - Smoky Grey,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-kit-smoky-grey-p-20564.html,$44.83,$48.25 
Authentic Wotofo The Troll X RTA - Black,https://www.cigabuy.com/authentic-wotofo-the-troll-x-rta-black-p-20659.html,$24.51,$37.87 
Authentic Geekvape L200 Aegis Legend 2 MOD - Grey,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-grey-p-21212.html,$40.45,$62.53 
Authentic Wotofo Profile M RTA - SS,https://www.cigabuy.com/authentic-wotofo-profile-rta-ss-p-20466.html,$23.38,$38.36 
